_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
63296c5b74372078d65db961||81.77|90.41|97.97|75.49|409,30,3,2|time|60|-1|0|60.02|0|0|false|false|english|none|normal|false|false|false||1663659099000
63296c0c74372078d65db780||78.4|93.41|91|72.95|392,17,1,3|time|60|-1|5|60|0|50|false|false|english|none|normal|false|false|false||1663659020000
63296b9574372078d6596e95||85.17|93.62|97.17|77.72|426,20,0,3|time|60|-1|3|60.02|0|14.37|false|false|english|none|normal|false|false|false||1663658901000
63296b4074372078d6596cbf||78.99|90.83|93.78|77.78|395,24,4,7|time|60|-1|1|60.01|0|3.31|false|false|english|none|normal|false|false|false||1663658816000
63296afb74372078d6596b3d||82.79|91.42|100.18|80.1|414,24,5,1|time|60|-1|4|60.01|0|37.5|false|false|english|none|normal|false|false|false||1663658747000
6329695e74372078d65961a4||76.79|89.41|98.18|78.78|384,28,5,2|time|60|-1|2|60.01|0|68.36|false|false|english|none|normal|false|false|false||1663658334000
632968c074372078d6595df3||80.6|92.39|94.6|77.54|403,20,4,4|time|60|-1|3|60|0|45.42|false|false|english|none|normal|false|false|false||1663658176000
6329683774372078d65514b1||80.99|87.32|99.38|79.31|405,41,4,6|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663658039000
632967eb74372078d65512c6||89.99|93.77|102.78|79.3|450,16,4,5|time|60|-1|1|60.01|0|1.64|false|false|english|none|normal|false|false|false||1663657963000
6329677e74372078d655102c||83.2|91.09|98.8|70.64|208,14,1,2|time|30|-1|2|30|0|2.04|false|false|english|none|normal|false|false|false||1663657854000
63281c1274372078d6b9fb82||97.17|94.76|106.76|85.68|243,9,1,1|time|30|-1|1|30.01|0|2.26|false|false|english|none|normal|false|false|false||1663573010000
63281bd974372078d6b9fa81||92.6|91.56|106.4|80.71|463,28,4,1|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663572953000
63281b0074372078d6b9f8c2||85.99|91.17|106.38|79.88|430,25,3,7|time|60|-1|1|60.01|0|16.03|false|false|english|none|normal|false|false|false||1663572736000
63281a9274372078d6b9f661||89.99|91.4|104.58|81.61|450,28,5,0|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663572626000
63281a4274372078d6b5b0f9||90|95.04|100.8|78.46|450,13,3,1|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663572546000
632819d174372078d6b5ae51||84|91.16|101.8|81.93|420,24,6,1|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663572433000
63267dfd6d362617a7d8aa2d||75.99|85.77|103.98|78.55|380,42,5,10|time|60|-1|2|60.01|0|0.04|false|false|english|none|normal|false|false|false||1663467005000
63267da16d362617a7d8a7fc||87.79|91.15|103.98|84.57|439,25,6,3|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663466913000
63267d616d362617a7d8a6a8||88.6|91.67|103.2|80.75|443,24,5,5|time|60|-1|2|60|0|62.05|false|false|english|none|normal|false|false|false||1663466849000
63267cc36d362617a7d8a321||86.79|89.8|107.78|80.45|434,32,4,8|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663466691000
63267c726d362617a7d8a15f||89.8|90.29|109.2|80.68|449,29,5,4|time|60|-1|1|60|0|1.01|false|false|english|none|normal|false|false|false||1663466610000
63267b3b6d362617a7d459e9||97.8|93.94|105.6|83.17|489,23,3,2|time|60|-1|1|60|0|27.37|false|false|english|none|normal|false|false|false||1663466299000
63267ade6d362617a7d45853||85.8|92.89|101.2|79.19|429,20,3,3|time|60|-1|1|60|0|1.03|false|false|english|none|normal|false|false|false||1663466206000
63267a786d362617a7d4565e||85.99|93.57|99.58|76.79|430,17,2,5|time|60|-1|2|60.01|0|42.44|false|false|english|none|normal|false|false|false||1663466104000
632679276d362617a7d4500f||89.79|91.17|106.38|80.96|449,30,1,8|time|60|-1|2|60.01|0|5.21|false|false|english|none|normal|false|false|false||1663465767000
632527b36d362617a7340508||76.8|91.09|89.8|74.24|384,24,2,9|time|60|-1|7|60|1|141.74|false|false|english|none|normal|false|false|false||1663379379000
632526766d362617a72fbf0e||85.59|88.53|106.38|81.19|428,35,9,2|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663379062000
632525f96d362617a72fbcae||88.19|94.05|100.78|75.78|441,16,3,2|time|60|-1|1|60.01|0|47.02|false|false|english|none|normal|false|false|false||1663378937000
632524896d362617a72fb4e1||84|89.36|99.6|77.75|420,34,5,4|time|60|-1|3|60|0|52.31|false|false|english|none|normal|false|false|false||1663378569000
632524126d362617a72fb238||82.59|94.58|92.18|67.64|413,13,2,1|time|60|-1|2|60.01|0|11.05|false|false|english|none|normal|false|false|false||1663378450000
632523c66d362617a72fb088||83.59|91.48|98.58|78.68|418,23,6,3|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663378374000
6325237a6d362617a72faee3||88.99|92.15|104.38|78.98|445,25,3,2|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663378298000
6325233d6d362617a72fad6c||84.4|92.96|99.4|79.08|422,20,2,2|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663378237000
632522e96d362617a72b6c28||83.8|89.8|102|83.29|419,32,4,5|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663378153000
6323cb5f90677ffc5eea7565||87.8|92.23|103|79.35|439,24,4,3|time|60|-1|13|60|0|228.31|false|false|english|none|normal|false|false|false||1663290207000
