Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
62285c43b75ef5d1e00a431e,,50.38,92.33,65.18,72.22,"252,14,1,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646812228000
62285bffb75ef5d1e00264f2,,50.59,95.56,58.59,70.78,"253,7,1,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646812159000
62285bbfb75ef5d1e00263a5,,50.59,93.6,59.39,70.4,"253,12,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646812095000
62285b7fb75ef5d1e0026240,,53.37,93.14,61.17,74.01,"267,15,0,2",time,60,-1,0,60.03,0,0,false,false,english_1k,none,normal,false,false,false,,1646812032000
62285b40b75ef5d1e00260d6,,45.38,92.49,58.58,68.93,"227,11,1,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646811968000
62285a36b75ef5d1e0fa7df4,,48.19,92.05,60.39,72.15,"241,12,1,2",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646811702000
622859ccb75ef5d1e0f6cd72,,49.59,92.63,62.39,67.48,"248,13,0,2",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646811596000
6228598bb75ef5d1e0f29d21,,45.99,89.66,57.99,69.51,"230,18,3,2",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646811531000
62285945b75ef5d1e0f29b89,,55.18,93.83,64.78,75.11,"276,11,0,1",time,60,-1,1,60.02,0,53.62,false,false,english_1k,none,normal,false,false,false,,1646811462000
622858b7b75ef5d1e0f297fd,,59.79,96.4,66.59,74.01,"299,7,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646811320000
6226b6ecb75ef5d1e0f44ff6,,48.79,93.27,59.39,66.32,"244,12,0,0",time,60,-1,2,60.01,0,45.01,false,false,english_1k,none,normal,false,false,false,,1646704365000
6226b638b75ef5d1e0ec7573,,54.39,94.62,63.19,71.23,"272,10,0,0",time,60,-1,1,60.01,0,23.13,false,false,english_1k,none,normal,false,false,false,,1646704185000
6226b5a4b75ef5d1e0ec710e,,45.18,89.23,59.38,69.94,"226,19,2,0",time,60,-1,3,60.02,0,20.74,false,false,english_1k,none,normal,false,false,false,,1646704036000
6226b4f2b75ef5d1e0e4965f,,47.59,92.11,60.79,72.35,"238,15,0,3",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646703859000
6226b4b3b75ef5d1e0e49466,,48.98,92.59,59.38,62.32,"245,13,1,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646703796000
6226b475b75ef5d1e0e4929f,,44.99,89.37,60.18,66.55,"225,21,1,1",time,60,-1,2,60.02,0,28.29,false,false,english_1k,none,normal,false,false,false,,1646703734000
6226b413b75ef5d1e0e48fdd,,51.59,94.46,61.39,73.76,"258,7,3,0",time,60,-1,1,60.01,0,17.96,false,false,english_1k,none,normal,false,false,false,,1646703636000
6226b3a2b75ef5d1e0dcb720,,48.19,91.95,59.59,65.34,"241,11,3,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646703523000
6226b34eb75ef5d1e0dcb4c2,,48.58,90.79,60.78,69.24,"243,19,1,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646703438000
6226b30fb75ef5d1e0dcb312,,48.79,93.65,59.79,70.35,"244,10,1,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646703376000
6226b2d0b75ef5d1e0d9067f,,52.78,95.74,60.98,71.66,"264,7,0,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646703312000
6226b28fb75ef5d1e0d4da04,,48.19,93.67,59.99,73.67,"241,10,0,0",time,60,-1,1,60.01,0,30.95,false,false,english_1k,none,normal,false,false,false,,1646703247000
6226b213b75ef5d1e0d4d659,,54.78,95.36,60.38,69.02,"274,8,2,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646703123000
6226b1d0b75ef5d1e0d4d469,,47.99,92.16,61.19,70.33,"240,12,1,2",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646703057000
6226b191b75ef5d1e0d127dc,,54.58,95.85,62.58,72.87,"273,7,0,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646702993000
6226b13eb75ef5d1e0ccfb0d,,52.19,94.21,62.19,69,"261,9,2,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646702910000
6226b06ab75ef5d1e0c949df,,58.98,95.99,64.78,72.91,"295,8,0,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646702699000
62255cf8b75ef5d1e0e66cbe,,57.58,97.72,61.38,71.44,"288,4,0,1",time,60,-1,1,60.02,0,3.96,false,false,english_1k,none,normal,false,false,false,,1646615801000
62255c97b75ef5d1e0e2c1ce,,49.78,93.09,60.77,65.85,"249,10,3,0",time,60,-1,0,60.03,0,0,false,false,english_1k,none,normal,false,false,false,,1646615703000
62255c30b75ef5d1e0de9798,,46.19,90.91,59.39,64.17,"231,16,1,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646615601000
62255befb75ef5d1e0de95eb,,51.57,91.16,65.57,73.82,"258,18,0,0",time,60,-1,0,60.03,0,0,false,false,english_1k,none,normal,false,false,false,,1646615536000
62255ba9b75ef5d1e0de941d,,57.19,94.12,64.59,71.41,"286,12,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646615466000
62255b64b75ef5d1e0dae9e6,,49.98,93.42,60.78,66.81,"250,10,2,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646615396000
62255b11b75ef5d1e0d6c03b,,51.57,92.51,61.37,72.57,"258,11,3,1",time,60,-1,1,60.03,0,10.42,false,false,english_1k,none,normal,false,false,false,,1646615314000
62255abdb75ef5d1e0d6bdda,,49.99,92.78,58.19,70.4,"250,15,0,2",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646615230000
62255a79b75ef5d1e0d6bc1d,,49.97,93.27,59.36,67.55,"250,12,1,0",time,60,-1,0,60.04,0,0,false,false,english_1k,none,normal,false,false,false,,1646615162000
62255a35b75ef5d1e0d3121b,,42.98,87.71,60.17,67.15,"215,23,0,1",time,60,-1,0,60.03,0,0,false,false,english_1k,none,normal,false,false,false,,1646615094000
622559eeb75ef5d1e0cee8e8,,51.99,94.44,61.19,73.77,"260,9,1,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646615023000
622559abb75ef5d1e0cee747,,49.59,93.43,57.79,67.51,"248,13,0,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646614956000
62255953b75ef5d1e0cee525,,47.58,93.4,60.57,71.44,"238,10,1,0",time,60,-1,1,60.03,0,6.82,false,false,english_1k,none,normal,false,false,false,,1646614868000
62255907b75ef5d1e0cb3af8,,49.58,92.76,60.77,73.31,"248,13,0,0",time,60,-1,1,60.03,0,6.35,false,false,english_1k,none,normal,false,false,false,,1646614791000
622558b1b75ef5d1e0c71177,,56.97,96.79,62.37,70.67,"285,5,1,0",time,60,-1,0,60.03,0,0,false,false,english_1k,none,normal,false,false,false,,1646614706000
62241c0cb75ef5d1e08c9a72,,50.59,95.58,58.79,65.12,"253,7,0,0",time,60,-1,1,60.01,0,1.99,false,false,english_1k,none,normal,false,false,false,,1646533644000
62241bbeb75ef5d1e08c98d9,,51.8,92.7,63,65.12,"259,9,5,3",time,60,-1,1,60,0,3.47,false,false,english_1k,none,normal,false,false,false,,1646533566000
62241b7ab75ef5d1e088f0f2,,47.99,92.74,60.59,65.06,"240,13,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646533498000
62241b37b75ef5d1e084ca1a,,50.4,93.43,57.8,66.21,"252,12,0,1",time,60,-1,6,60,0,171.87,false,false,english_1k,none,normal,false,false,false,,1646533432000
622419a4b75ef5d1e07cf549,,43.39,91.03,57.99,65.35,"217,15,1,0",time,60,-1,1,60.01,0,5.86,false,false,english_1k,none,normal,false,false,false,,1646533029000
62241842b75ef5d1e07521a8,,48.39,91.83,61.19,68.65,"242,14,2,0",time,60,-1,8,60.01,0,105.59,false,false,english_1k,none,normal,false,false,false,,1646532674000
6224174fb75ef5d1e06d510f,,47.79,92.59,59.39,68.4,"239,14,0,1",time,60,-1,1,60.01,0,43.83,false,false,english_1k,none,normal,false,false,false,,1646532432000
622416b5b75ef5d1e06581f4,,41.19,87.63,58.19,72.13,"206,24,0,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646532278000
6224166eb75ef5d1e0658091,,53.39,94.72,60.59,72.37,"267,10,1,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646532207000
62241537b75ef5d1e05daeee,,55.37,97.05,60.97,68.63,"277,3,1,1",time,60,-1,1,60.03,0,3.64,false,false,english_1k,none,normal,false,false,false,,1646531895000
622414e4b75ef5d1e05dad49,,51.99,95.88,58.19,67.01,"260,7,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646531812000
622414a0b75ef5d1e05dabf4,,49.79,93.24,59.19,68.63,"249,12,0,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646531745000
6224145db75ef5d1e055dec7,,50.37,92.43,63.37,64.92,"252,14,0,0",time,60,-1,2,60.03,0,5.74,false,false,english_1k,none,normal,false,false,false,,1646531677000
62241401b75ef5d1e055dd0f,,47.38,92.62,59.57,72.26,"237,12,1,2",time,60,-1,0,60.03,0,0,false,false,english_1k,none,normal,false,false,false,,1646531586000
622413bcb75ef5d1e055dbcb,,48.98,91.19,58.98,68.87,"245,17,0,1",time,60,-1,4,60.02,0,20.55,false,false,english_1k,none,normal,false,false,false,,1646531516000
6224133eb75ef5d1e05232d5,,47.38,95.45,57.18,70,"237,6,0,2",time,60,-1,2,60.02,0,33.69,false,false,english_1k,none,normal,false,false,false,,1646531390000
622412d4b75ef5d1e04e0b44,,50.38,92.72,60.38,63.38,"252,13,0,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646531284000
6224128ab75ef5d1e04e09da,,53.99,95.74,60.99,62.47,"270,7,0,0",time,60,-1,1,60.01,0,2.87,false,false,english_1k,none,normal,false,false,false,,1646531211000
62241214b75ef5d1e04a6139,,44.79,91.44,58.38,65.73,"224,15,0,0",time,60,-1,3,60.02,0,18.58,false,false,english_1k,none,normal,false,false,false,,1646531092000
622411adb75ef5d1e0463a12,,46.19,92.33,57.39,69.21,"231,12,1,0",time,60,-1,1,60.01,0,4.61,false,false,english_1k,none,normal,false,false,false,,1646530989000
622390dfbe7cd1cc65541361,,44.6,90.24,59.4,62.32,"223,17,1,0",time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,,1646498015000
62239036be7cd1cc65540e9a,,46.19,88.78,58.79,70.03,"231,20,2,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646497846000
62238ff5be7cd1cc654c4233,,55.59,97.41,61.79,61.86,"278,3,1,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646497781000
62238faebe7cd1cc654c4060,,49.99,92.16,61.19,70.99,"250,15,1,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646497710000
62238f4fbe7cd1cc654c3dee,,49.19,93.73,60.59,65.63,"246,10,0,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646497615000
62238f09be7cd1cc654c3c01,,52.39,93.02,62.99,67.45,"262,13,1,1",time,60,-1,2,60.01,0,16.56,false,false,english_1k,none,normal,false,false,false,,1646497546000
62238e8fbe7cd1cc65446e45,,41.79,88.03,56.78,65.54,"209,20,2,1",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646497424000
62238e4abe7cd1cc65446c4e,,42.59,86.14,60.59,67.18,"213,25,3,3",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646497354000
62238e02be7cd1cc65446a6c,,52.79,91.95,64.59,67.46,"264,16,0,0",time,60,-1,1,60.01,0,7.15,false,false,english_1k,none,normal,false,false,false,,1646497283000
62238d96be7cd1cc653c9cff,,57.18,95.27,63.38,71.7,"286,8,1,0",time,60,-1,1,60.02,0,47.39,false,false,english_1k,none,normal,false,false,false,,1646497175000
62238b0fbe7cd1cc652cf5f2,,51.79,93.65,59.79,64.77,"259,12,0,0",time,60,-1,1,60.01,0,5.36,false,false,english_1k,none,normal,false,false,false,,1646496527000
6221e730c10d9f20c5e77f38,,54.39,96.98,59.59,71.77,"272,5,0,0",time,60,-1,1,60.01,0,32.96,false,false,english_1k,none,normal,false,false,false,,1646389041000
6221e64ac10d9f20c5dfb5be,,49.19,89.07,62.19,66.5,"246,21,1,2",time,60,-1,2,60.01,0,31.84,false,false,english_1k,none,normal,false,false,false,,1646388810000
6221e5e5c10d9f20c5dfb377,,55.79,94.86,62.19,64.7,"279,12,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646388709000
6221e534c10d9f20c5d7eb41,,47.39,92.98,59.79,63.29,"237,12,1,0",time,60,-1,3,60.01,1,78.41,false,false,english_1k,none,normal,false,false,false,,1646388533000
6221e489c10d9f20c5d7e757,,50.59,91.11,62.99,69.56,"253,16,2,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646388361000
6221e447c10d9f20c5d442a6,,49.99,92.28,62.19,71.07,"250,14,1,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646388295000
6221e403c10d9f20c5d02001,,58.59,94.69,67.79,71.68,"293,9,2,2",time,60,-1,2,60.01,0,9.4,false,false,english_1k,none,normal,false,false,false,,1646388228000
6221e3a2c10d9f20c5d01dbc,,46.19,90.4,60.39,67.57,"231,16,2,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646388131000
6221e318c10d9f20c5cc7722,,53.39,92.64,65.19,68.06,"267,15,1,1",time,60,-1,1,60.01,0,2.1,false,false,english_1k,none,normal,false,false,false,,1646387993000
6221e2d1c10d9f20c5c8543a,,48.79,87.02,67.79,68.7,"244,29,0,3",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646387921000
6221e292c10d9f20c5c852b1,,52.79,92.28,62.19,70.85,"264,17,0,0",time,60,-1,1,60.01,0,1.41,false,false,english_1k,none,normal,false,false,false,,1646387858000
6221e24cc10d9f20c5c85120,,50.58,92.5,63.98,65.32,"253,14,0,1",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646387789000
6221e1d7c10d9f20c5c08a2b,,54.59,91.87,66.39,69.86,"273,16,1,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646387672000
6221e18fc10d9f20c5c08885,,51.8,94.65,59.8,65.16,"259,10,0,0",time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,,1646387600000
6221e14ec10d9f20c5c0870c,,49.79,93.27,62.39,70.67,"249,12,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646387535000
6221e10cc10d9f20c5c08582,,58.79,96.6,64.79,68.61,"294,6,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646387468000
6221e086c10d9f20c5b8bdf6,,54.19,92.83,64.19,72.95,"271,12,1,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646387334000
6221e044c10d9f20c5b8bc33,,53.39,94.43,60.99,66.07,"267,9,1,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646387268000
6221e000c10d9f20c5b8ba98,,50.79,94.76,57.19,69.51,"254,8,1,0",time,60,-1,1,60.01,0,10.57,false,false,english_1k,none,normal,false,false,false,,1646387200000
6221de2fc10d9f20c5a92721,,57.99,95.45,65.99,71.93,"290,9,0,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646386736000
6221ddebc10d9f20c5a9257d,,54.2,94.41,60.8,67.8,"271,11,0,0",time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,,1646386668000
6221ddabc10d9f20c5a923e6,,49,90.85,63.4,71.28,"245,16,1,1",time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,,1646386604000
6221dd5cc10d9f20c5a921e3,,56.78,93.5,64.58,70.42,"284,12,2,0",time,60,-1,1,60.02,0,3.1,false,false,english_1k,none,normal,false,false,false,,1646386524000
6221dd0cc10d9f20c5a15bdc,,53.4,93.65,63,67.83,"267,12,0,0",time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,,1646386444000
6221c11ec10d9f20c5ea7eb6,,50.19,90.34,64.19,63.6,"251,19,1,2",time,60,-1,1,60.01,0,0.03,false,false,english_1k,none,normal,false,false,false,,1646379294000
